citation_key	fixture_path	line_start	line_end	semantic_role
fixture://scotland-shaped-chronicle#source-layer	tests/fixtures/phase0/scotland-shaped-chronicle.md	3	5	source attribution and stance
fixture://scotland-shaped-chronicle#northwatch-origin	tests/fixtures/phase0/scotland-shaped-chronicle.md	7	10	narrative chronology and translation
fixture://scotland-shaped-chronicle#rannoch-senses	tests/fixtures/phase0/scotland-shaped-chronicle.md	12	14	name ambiguity
fixture://scotland-shaped-chronicle#removals-stances	tests/fixtures/phase0/scotland-shaped-chronicle.md	16	19	conflicting attributed stances
fixture://scotland-shaped-chronicle#children-of-rain-gap	tests/fixtures/phase0/scotland-shaped-chronicle.md	21	23	exact phrase gap and limited inference
fixture://scotland-shaped-ledger#removals-entry	tests/fixtures/phase0/scotland-shaped-ledger.md	3	5	direct agency with collective-agency limit
fixture://scotland-shaped-ledger#brannoch-entry	tests/fixtures/phase0/scotland-shaped-ledger.md	7	10	narrative chronology
fixture://scotland-shaped-ledger#northwatch-index	tests/fixtures/phase0/scotland-shaped-ledger.md	12	14	locator evidence
fixture://scotland-shaped-ledger#collection-adjacency	tests/fixtures/phase0/scotland-shaped-ledger.md	16	18	lead-only adjacency
fixture://it-held-out#source-stance	tests/fixtures/phase0/it-held-out.md	3	4	approval and unresolved risk stance
fixture://it-held-out#components	tests/fixtures/phase0/it-held-out.md	6	9	components aliases and direct dependencies
fixture://it-held-out#approved-path	tests/fixtures/phase0/it-held-out.md	11	13	directed path
fixture://it-held-out#risk	tests/fixtures/phase0/it-held-out.md	11	13	replication freshness limit
fixture://it-held-out#orion-ambiguity	tests/fixtures/phase0/it-held-out.md	15	17	team service ambiguity and explicit gap
